Date,H15T1M,H15T3M,H15T6M,H15T1Y,H15T2Y,H15T3Y,H15T5Y,H15T7Y,H15T10Y,H15T20Y,H15T30Y
2/6/2009,0.21,0.28,0.44,0.57,0.99,1.44,1.97,2.4,3.05,3.94,3.7
2/9/2009,0.22,0.32,0.47,0.6,1.05,1.5,1.99,2.42,3.07,3.91,3.69
2/10/2009,0.24,0.31,0.44,0.6,0.92,1.31,1.79,2.23,2.9,3.77,3.54
2/11/2009,0.22,0.3,0.46,0.6,0.93,1.32,1.76,2.17,2.78,3.69,3.45
2/12/2009,0.25,0.29,0.43,0.58,0.89,1.28,1.73,2.14,2.75,3.71,3.47
2/13/2009,0.23,0.29,0.46,0.61,0.97,1.37,1.88,2.29,2.89,3.91,3.68
2/17/2009,0.26,0.32,0.48,0.61,0.87,1.22,1.65,2.05,2.64,3.7,3.47
2/18/2009,0.23,0.31,0.5,0.64,0.97,1.33,1.81,2.18,2.74,3.77,3.54
2/19/2009,0.22,0.3,0.51,0.67,1.01,1.38,1.89,2.28,2.85,3.92,3.68
2/20/2009,0.19,0.27,0.48,0.64,0.96,1.3,1.81,2.21,2.78,3.82,3.56
2/23/2009,0.19,0.29,0.5,0.69,0.96,1.34,1.84,2.22,2.78,3.79,3.53
2/24/2009,0.22,0.32,0.49,0.71,1.03,1.37,1.89,2.26,2.8,3.77,3.49
2/25/2009,0.21,0.3,0.52,0.75,1.09,1.49,2.06,2.42,2.95,3.88,3.59
2/26/2009,0.18,0.27,0.47,0.73,1.08,1.5,2.07,2.72,2.98,3.93,3.66
2/27/2009,0.16,0.26,0.45,0.72,1,1.4,1.99,2.69,3.02,3.98,3.71
3/2/2009,0.17,0.28,0.45,0.67,0.89,1.28,1.86,2.54,2.91,3.89,3.64
3/3/2009,0.14,0.27,0.44,0.68,0.91,1.31,1.87,2.58,2.93,3.92,3.67
3/4/2009,0.15,0.26,0.44,0.71,0.97,1.4,1.97,2.67,3.01,3.96,3.69
3/5/2009,0.11,0.2,0.4,0.66,0.9,1.3,1.82,2.49,2.83,3.76,3.51
3/6/2009,0.09,0.21,0.39,0.67,0.91,1.34,1.83,2.49,2.83,3.74,3.5
3/9/2009,0.12,0.23,0.47,0.69,0.96,1.38,1.9,2.53,2.89,3.83,3.59
3/10/2009,0.14,0.24,0.47,0.71,1.01,1.46,1.99,2.63,2.99,3.94,3.7
3/11/2009,0.14,0.23,0.46,0.71,1.03,1.45,1.96,2.56,2.95,3.88,3.67
3/12/2009,0.11,0.22,0.45,0.7,1.03,1.42,1.92,2.5,2.89,3.82,3.63
3/13/2009,0.09,0.2,0.42,0.67,0.98,1.36,1.87,2.48,2.89,3.84,3.66
3/16/2009,0.11,0.24,0.46,0.69,1,1.39,1.91,2.55,2.97,3.93,3.76
3/17/2009,0.14,0.24,0.45,0.69,1.05,1.45,2,2.64,3.02,3.99,3.83
3/18/2009,0.15,0.21,0.4,0.6,0.82,1.14,1.54,2.11,2.51,3.65,3.57
3/19/2009,0.1,0.2,0.4,0.6,0.87,1.21,1.64,2.17,2.61,3.64,3.62
3/20/2009,0.09,0.22,0.41,0.6,0.89,1.23,1.66,2.18,2.65,3.67,3.65
3/23/2009,0.1,0.22,0.4,0.6,0.93,1.25,1.69,2.2,2.68,3.7,3.69
3/24/2009,0.05,0.21,0.42,0.62,0.93,1.24,1.7,2.22,2.68,3.64,3.6
3/25/2009,0.03,0.19,0.41,0.6,0.96,1.35,1.84,2.36,2.81,3.76,3.73
3/26/2009,0.02,0.15,0.39,0.57,0.9,1.29,1.8,2.34,2.76,3.69,3.66
3/27/2009,0.03,0.14,0.39,0.58,0.9,1.27,1.79,2.36,2.78,3.66,3.62
3/30/2009,0.05,0.18,0.42,0.58,0.84,1.2,1.72,2.31,2.73,3.64,3.6
3/31/2009,0.17,0.21,0.43,0.57,0.81,1.15,1.67,2.28,2.71,3.61,3.56
4/1/2009,0.18,0.22,0.41,0.58,0.83,1.16,1.65,2.25,2.68,3.54,3.51
4/2/2009,0.17,0.22,0.41,0.59,0.88,1.25,1.74,2.35,2.77,3.63,3.57
4/3/2009,0.16,0.21,0.42,0.6,0.96,1.36,1.87,2.51,2.91,3.77,3.7
4/6/2009,0.16,0.2,0.4,0.6,0.94,1.37,1.9,2.55,2.95,3.82,3.73
4/7/2009,0.17,0.2,0.39,0.6,0.91,1.33,1.87,2.51,2.93,3.79,3.72
4/8/2009,0.15,0.18,0.39,0.59,0.93,1.34,1.83,2.43,2.86,3.74,3.66
4/9/2009,0.13,0.18,0.39,0.6,0.96,1.36,1.9,2.49,2.96,3.85,3.76
4/13/2009,0.12,0.18,0.37,0.57,0.89,1.27,1.81,2.39,2.88,3.78,3.69
4/14/2009,0.09,0.17,0.35,0.54,0.86,1.21,1.71,2.31,2.8,3.73,3.64
4/15/2009,0.07,0.15,0.34,0.54,0.86,1.22,1.71,2.29,2.82,3.75,3.66
4/16/2009,0.02,0.13,0.33,0.54,0.91,1.27,1.79,2.36,2.86,3.81,3.72
4/17/2009,0.04,0.14,0.36,0.57,0.99,1.36,1.91,2.48,2.98,3.91,3.79
4/20/2009,0.04,0.14,0.34,0.54,0.93,1.27,1.82,2.39,2.88,3.8,3.69
4/21/2009,0.07,0.15,0.34,0.53,0.96,1.32,1.87,2.46,2.94,3.86,3.74
4/22/2009,0.08,0.14,0.32,0.52,1,1.36,1.92,2.5,2.98,3.93,3.82
4/23/2009,0.08,0.1,0.31,0.49,0.97,1.34,1.89,2.49,2.96,3.9,3.8
4/24/2009,0.07,0.1,0.31,0.5,0.99,1.38,1.96,2.56,3.03,3.99,3.89
4/27/2009,0.07,0.13,0.3,0.49,0.9,1.31,1.87,2.48,2.95,3.92,3.84
4/28/2009,0.05,0.13,0.31,0.52,0.95,1.39,1.97,2.58,3.05,4.03,3.97
4/29/2009,0.04,0.11,0.28,0.5,0.94,1.4,2.01,2.69,3.12,4.07,4.01
4/30/2009,0.04,0.14,0.29,0.49,0.91,1.38,2.02,2.7,3.16,4.1,4.05
5/1/2009,0.06,0.16,0.31,0.49,0.92,1.39,2.03,2.72,3.21,4.14,4.09
5/4/2009,0.14,0.19,0.33,0.52,0.94,1.4,2.03,2.7,3.19,4.11,4.06
5/5/2009,0.14,0.19,0.34,0.53,0.98,1.46,2.05,2.7,3.2,4.11,4.06
5/6/2009,0.14,0.19,0.32,0.51,0.96,1.43,2.06,2.7,3.18,4.12,4.09
5/7/2009,0.15,0.18,0.32,0.54,1,1.46,2.15,2.8,3.29,4.26,4.25
5/8/2009,0.15,0.19,0.31,0.55,1,1.44,2.15,2.78,3.29,4.25,4.28
5/11/2009,0.16,0.19,0.3,0.53,0.92,1.34,2.04,2.67,3.17,4.15,4.18
5/12/2009,0.16,0.19,0.3,0.54,0.9,1.34,2.02,2.67,3.17,4.13,4.16
5/13/2009,0.15,0.17,0.3,0.52,0.89,1.31,1.98,2.62,3.11,4.06,4.09
5/14/2009,0.1,0.16,0.28,0.5,0.87,1.3,1.98,2.62,3.1,4.04,4.06
5/15/2009,0.11,0.17,0.29,0.5,0.88,1.3,2.01,2.65,3.14,4.07,4.09
5/18/2009,0.12,0.19,0.3,0.5,0.93,1.36,2.09,2.73,3.22,4.16,4.18
5/19/2009,0.14,0.18,0.29,0.48,0.91,1.37,2.12,2.76,3.25,4.19,4.21
5/20/2009,0.18,0.18,0.28,0.44,0.87,1.31,2.05,2.72,3.19,4.11,4.14
5/21/2009,0.13,0.19,0.3,0.45,0.89,1.36,2.16,2.86,3.35,4.27,4.3
5/22/2009,0.13,0.18,0.3,0.49,0.92,1.39,2.23,2.96,3.45,4.36,4.38
5/26/2009,0.13,0.18,0.3,0.5,0.96,1.45,2.3,3.05,3.5,4.42,4.45
5/27/2009,0.18,0.17,0.29,0.49,0.96,1.5,2.43,3.22,3.71,4.58,4.59
5/28/2009,0.14,0.15,0.31,0.48,0.97,1.52,2.46,3.22,3.67,4.52,4.54
5/29/2009,0.14,0.14,0.3,0.47,0.92,1.42,2.34,3.06,3.47,4.34,4.34
6/1/2009,0.13,0.13,0.29,0.48,0.97,1.52,2.55,3.28,3.71,4.56,4.55
6/2/2009,0.06,0.14,0.27,0.46,0.96,1.52,2.52,3.26,3.65,4.51,4.5
6/3/2009,0.08,0.14,0.26,0.45,0.91,1.47,2.43,3.16,3.56,4.44,4.45
6/4/2009,0.08,0.14,0.28,0.47,0.96,1.54,2.56,3.31,3.72,4.58,4.58
6/5/2009,0.08,0.2,0.35,0.62,1.32,1.88,2.85,3.53,3.84,4.64,4.63
6/8/2009,0.08,0.19,0.35,0.62,1.42,2,2.95,3.6,3.91,4.66,4.65
6/9/2009,0.09,0.19,0.31,0.56,1.33,1.93,2.86,3.51,3.86,4.65,4.64
6/10/2009,0.11,0.18,0.31,0.55,1.38,2,2.93,3.59,3.98,4.75,4.76
6/11/2009,0.09,0.19,0.31,0.53,1.35,1.97,2.87,3.49,3.88,4.67,4.69
6/12/2009,0.08,0.19,0.29,0.52,1.3,1.91,2.81,3.46,3.81,4.63,4.65
6/15/2009,0.08,0.17,0.29,0.51,1.26,1.84,2.75,3.39,3.76,4.58,4.61
6/16/2009,0.09,0.17,0.3,0.51,1.23,1.79,2.7,3.32,3.67,4.47,4.48
6/17/2009,0.11,0.17,0.31,0.5,1.19,1.76,2.69,3.33,3.68,4.47,4.5
6/18/2009,0.12,0.18,0.34,0.52,1.28,1.88,2.86,3.51,3.86,4.62,4.63
6/19/2009,0.1,0.19,0.33,0.51,1.25,1.84,2.82,3.45,3.79,4.54,4.52
6/22/2009,0.12,0.2,0.34,0.5,1.17,1.77,2.75,3.37,3.72,4.45,4.45
6/23/2009,0.15,0.2,0.34,0.5,1.14,1.74,2.71,3.31,3.65,4.36,4.37
6/24/2009,0.1,0.19,0.32,0.5,1.19,1.79,2.74,3.39,3.72,4.43,4.44
6/25/2009,0.07,0.18,0.31,0.47,1.12,1.66,2.58,3.22,3.55,4.31,4.33
6/26/2009,0.07,0.2,0.31,0.45,1.1,1.63,2.53,3.18,3.52,4.28,4.3
6/29/2009,0.11,0.2,0.36,0.51,1.11,1.63,2.53,3.18,3.51,4.29,4.31
6/30/2009,0.17,0.19,0.35,0.56,1.11,1.64,2.54,3.19,3.53,4.3,4.32
7/1/2009,0.13,0.17,0.33,0.54,1.05,1.57,2.51,3.2,3.55,4.32,4.34
7/2/2009,0.15,0.17,0.32,0.49,0.98,1.52,2.43,3.14,3.51,4.28,4.32
7/6/2009,0.15,0.19,0.28,0.48,0.96,1.48,2.4,3.12,3.52,4.29,4.35
7/7/2009,0.16,0.19,0.28,0.46,0.98,1.52,2.36,3.08,3.47,4.25,4.31
7/8/2009,0.15,0.18,0.26,0.45,0.91,1.42,2.23,2.9,3.33,4.13,4.17
7/9/2009,0.16,0.19,0.27,0.47,0.94,1.46,2.33,3.01,3.44,4.26,4.31
7/10/2009,0.15,0.18,0.26,0.45,0.91,1.4,2.22,2.89,3.32,4.16,4.2
7/13/2009,0.15,0.18,0.28,0.47,0.92,1.41,2.27,2.94,3.38,4.21,4.25
7/14/2009,0.15,0.18,0.28,0.47,0.97,1.48,2.37,3.05,3.5,4.35,4.38
7/15/2009,0.11,0.18,0.29,0.5,1.03,1.6,2.52,3.19,3.63,4.46,4.48
7/16/2009,0.15,0.19,0.28,0.47,1,1.54,2.46,3.13,3.59,4.43,4.45
7/17/2009,0.15,0.17,0.29,0.48,1.02,1.58,2.52,3.21,3.67,4.51,4.53
7/20/2009,0.15,0.19,0.28,0.47,0.99,1.54,2.46,3.14,3.61,4.45,4.47
7/21/2009,0.16,0.19,0.27,0.46,0.96,1.47,2.36,3.03,3.5,4.35,4.38
7/22/2009,0.15,0.19,0.28,0.47,0.98,1.5,2.43,3.11,3.58,4.42,4.45
7/23/2009,0.15,0.19,0.29,0.49,1.08,1.62,2.6,3.28,3.72,4.55,4.58
7/24/2009,0.15,0.18,0.29,0.47,1.05,1.59,2.57,3.25,3.7,4.53,4.55
7/27/2009,0.15,0.19,0.27,0.49,1.08,1.63,2.63,3.31,3.75,4.6,4.62
7/28/2009,0.14,0.19,0.26,0.49,1.12,1.66,2.63,3.3,3.72,4.54,4.56
7/29/2009,0.14,0.19,0.26,0.5,1.17,1.72,2.69,3.31,3.69,4.49,4.5
7/30/2009,0.14,0.18,0.27,0.48,1.19,1.73,2.66,3.31,3.67,4.44,4.44
7/31/2009,0.14,0.18,0.26,0.48,1.13,1.62,2.53,3.14,3.52,4.29,4.31
8/3/2009,0.15,0.19,0.28,0.48,1.18,1.72,2.66,3.3,3.66,4.4,4.42
8/4/2009,0.15,0.18,0.28,0.47,1.2,1.75,2.68,3.32,3.7,4.44,4.45
8/5/2009,0.15,0.18,0.29,0.49,1.23,1.78,2.73,3.4,3.8,4.54,4.57
8/6/2009,0.15,0.17,0.28,0.48,1.22,1.77,2.73,3.39,3.79,4.51,4.53
8/7/2009,0.14,0.19,0.3,0.52,1.32,1.87,2.84,3.5,3.89,4.59,4.61
8/10/2009,0.15,0.19,0.29,0.49,1.24,1.79,2.75,3.4,3.8,4.49,4.52
8/11/2009,0.14,0.18,0.28,0.48,1.21,1.78,2.69,3.32,3.71,4.4,4.44
8/12/2009,0.14,0.17,0.28,0.47,1.18,1.76,2.7,3.35,3.72,4.49,4.53
8/13/2009,0.1,0.17,0.28,0.45,1.12,1.66,2.58,3.22,3.59,4.37,4.44
8/14/2009,0.1,0.18,0.26,0.44,1.07,1.61,2.51,3.17,3.55,4.33,4.41
8/17/2009,0.11,0.18,0.27,0.45,1.04,1.54,2.43,3.09,3.48,4.26,4.33
8/18/2009,0.14,0.18,0.27,0.43,1.06,1.57,2.48,3.13,3.51,4.29,4.35
8/19/2009,0.1,0.17,0.25,0.43,1.01,1.52,2.43,3.07,3.45,4.23,4.28
8/20/2009,0.11,0.17,0.26,0.42,1.03,1.53,2.43,3.06,3.42,4.18,4.24
8/21/2009,0.11,0.17,0.26,0.45,1.13,1.65,2.58,3.21,3.56,4.32,4.36
8/24/2009,0.11,0.17,0.26,0.44,1.05,1.57,2.5,3.13,3.48,4.22,4.27
8/25/2009,0.12,0.17,0.26,0.47,1.05,1.56,2.48,3.1,3.45,4.17,4.22
8/26/2009,0.11,0.15,0.25,0.45,1.06,1.57,2.46,3.09,3.44,4.15,4.2
8/27/2009,0.11,0.15,0.26,0.46,1.04,1.58,2.48,3.12,3.47,4.19,4.23
8/28/2009,0.11,0.15,0.25,0.44,1.01,1.55,2.46,3.09,3.46,4.17,4.21
8/31/2009,0.11,0.15,0.24,0.43,0.97,1.49,2.39,3.03,3.4,4.14,4.18
9/1/2009,0.08,0.14,0.23,0.43,0.92,1.44,2.33,2.99,3.38,4.14,4.19
9/2/2009,0.09,0.14,0.22,0.41,0.89,1.39,2.26,2.91,3.29,4.04,4.09
9/3/2009,0.09,0.15,0.23,0.42,0.91,1.42,2.29,2.95,3.33,4.09,4.15
9/4/2009,0.09,0.14,0.23,0.42,0.94,1.46,2.36,3.06,3.45,4.21,4.27
9/8/2009,0.1,0.14,0.24,0.41,0.93,1.49,2.38,3.06,3.47,4.24,4.31
9/9/2009,0.09,0.14,0.22,0.4,0.93,1.48,2.38,3.07,3.48,4.26,4.33
9/10/2009,0.08,0.14,0.21,0.4,0.9,1.42,2.29,2.95,3.36,4.11,4.19
9/11/2009,0.08,0.14,0.21,0.39,0.9,1.42,2.29,2.93,3.34,4.1,4.18
9/14/2009,0.08,0.14,0.21,0.4,0.94,1.46,2.37,3.01,3.42,4.16,4.22
9/15/2009,0.05,0.13,0.21,0.39,0.96,1.49,2.41,3.07,3.47,4.21,4.27
9/16/2009,0.03,0.1,0.2,0.38,1.01,1.55,2.46,3.11,3.48,4.22,4.26
9/17/2009,0.03,0.1,0.2,0.4,0.98,1.51,2.41,3.04,3.42,4.14,4.19
9/18/2009,0.03,0.08,0.2,0.41,1.03,1.57,2.49,3.12,3.49,4.2,4.24
9/21/2009,0.05,0.11,0.2,0.4,1.02,1.56,2.47,3.11,3.49,4.2,4.23
9/22/2009,0.05,0.11,0.2,0.42,1.02,1.54,2.45,3.09,3.46,4.18,4.2
9/23/2009,0.05,0.11,0.2,0.41,0.96,1.49,2.4,3.05,3.44,4.18,4.21
9/24/2009,0.03,0.1,0.19,0.39,0.93,1.45,2.37,3.03,3.4,4.14,4.17
9/25/2009,0.03,0.1,0.2,0.41,0.98,1.49,2.36,2.98,3.34,4.07,4.1
9/28/2009,0.03,0.11,0.18,0.4,0.98,1.47,2.33,2.95,3.31,4.02,4.04
9/29/2009,0.07,0.13,0.19,0.41,1,1.48,2.34,2.94,3.31,4.02,4.03
9/30/2009,0.06,0.14,0.18,0.4,0.95,1.45,2.31,2.93,3.31,4.02,4.03
10/1/2009,0.03,0.1,0.15,0.37,0.87,1.36,2.2,2.82,3.21,3.95,3.97
10/2/2009,0.04,0.1,0.15,0.37,0.88,1.38,2.22,2.83,3.24,3.98,4.01
10/5/2009,0.04,0.08,0.15,0.36,0.88,1.38,2.21,2.82,3.24,3.98,4.01
10/6/2009,0.05,0.08,0.15,0.37,0.91,1.43,2.25,2.85,3.27,4.03,4.07
10/7/2009,0.06,0.09,0.14,0.34,0.87,1.35,2.16,2.77,3.21,3.96,3.99
10/8/2009,0.03,0.06,0.15,0.35,0.9,1.4,2.22,2.83,3.27,4.05,4.09
10/9/2009,0.04,0.07,0.16,0.38,0.98,1.5,2.36,2.98,3.4,4.2,4.22
10/13/2009,0.04,0.07,0.15,0.35,0.91,1.42,2.28,2.9,3.34,4.14,4.16
10/14/2009,0.05,0.07,0.15,0.35,0.96,1.47,2.36,3.01,3.45,4.26,4.28
10/15/2009,0.06,0.07,0.15,0.36,0.97,1.5,2.41,3.05,3.49,4.29,4.31
10/16/2009,0.06,0.07,0.17,0.36,0.97,1.49,2.37,2.99,3.43,4.22,4.24
10/19/2009,0.06,0.08,0.18,0.38,0.99,1.5,2.36,2.98,3.41,4.19,4.21
10/20/2009,0.05,0.08,0.17,0.39,0.95,1.44,2.3,2.93,3.35,4.14,4.16
10/21/2009,0.05,0.07,0.17,0.4,1,1.51,2.38,3.01,3.42,4.2,4.22
10/22/2009,0.02,0.06,0.15,0.38,0.97,1.5,2.39,3.03,3.44,4.22,4.24
10/23/2009,0.02,0.07,0.18,0.4,1.04,1.57,2.46,3.1,3.51,4.27,4.29
10/26/2009,0.04,0.08,0.18,0.41,1.06,1.61,2.53,3.17,3.59,4.35,4.37
10/27/2009,0.05,0.08,0.17,0.39,0.99,1.51,2.41,3.05,3.49,4.26,4.29
10/28/2009,0.04,0.07,0.17,0.39,0.95,1.47,2.37,3.01,3.44,4.22,4.25
10/29/2009,0.02,0.06,0.17,0.4,0.98,1.52,2.44,3.12,3.53,4.31,4.35
10/30/2009,0.01,0.05,0.16,0.37,0.9,1.43,2.31,2.98,3.41,4.19,4.23
11/2/2009,0.03,0.06,0.17,0.38,0.92,1.44,2.33,3,3.45,4.22,4.26
11/3/2009,0.04,0.06,0.17,0.38,0.92,1.46,2.36,3.05,3.5,4.29,4.34
11/4/2009,0.05,0.05,0.16,0.36,0.91,1.46,2.39,3.09,3.57,4.36,4.41
11/5/2009,0.06,0.04,0.16,0.36,0.9,1.44,2.35,3.06,3.57,4.36,4.41
11/6/2009,0.06,0.06,0.16,0.34,0.86,1.4,2.3,3.02,3.54,4.35,4.4
11/9/2009,0.06,0.07,0.17,0.34,0.87,1.4,2.31,3.01,3.52,4.34,4.4
11/10/2009,0.06,0.07,0.16,0.33,0.85,1.39,2.31,3.01,3.5,4.36,4.41
11/12/2009,0.06,0.07,0.16,0.32,0.82,1.36,2.28,2.98,3.45,4.33,4.41
11/13/2009,0.05,0.06,0.17,0.32,0.82,1.34,2.28,2.97,3.43,4.29,4.36
11/16/2009,0.05,0.07,0.17,0.31,0.78,1.28,2.19,2.87,3.33,4.18,4.26
11/17/2009,0.05,0.06,0.16,0.32,0.78,1.28,2.19,2.87,3.33,4.17,4.26
11/18/2009,0.04,0.04,0.15,0.29,0.77,1.27,2.21,2.9,3.36,4.21,4.29
11/19/2009,0.03,0.02,0.14,0.27,0.73,1.24,2.18,2.88,3.35,4.2,4.29
11/20/2009,0.04,0.02,0.13,0.27,0.75,1.25,2.2,2.9,3.36,4.2,4.3
11/23/2009,0.05,0.05,0.14,0.29,0.77,1.28,2.2,2.9,3.37,4.2,4.29
11/24/2009,0.06,0.05,0.14,0.28,0.73,1.22,2.15,2.82,3.32,4.16,4.25
11/25/2009,0.07,0.05,0.14,0.26,0.73,1.23,2.11,2.78,3.28,4.12,4.23
11/27/2009,0.06,0.03,0.14,0.26,0.68,1.15,2.03,2.71,3.21,4.07,4.21
11/30/2009,0.08,0.06,0.15,0.27,0.67,1.12,2.01,2.69,3.21,4.07,4.2
12/1/2009,0.09,0.06,0.15,0.26,0.67,1.14,2.03,2.74,3.28,4.14,4.26
12/2/2009,0.08,0.05,0.15,0.28,0.72,1.19,2.09,2.8,3.32,4.14,4.26
12/3/2009,0.09,0.06,0.16,0.3,0.74,1.23,2.14,2.87,3.39,4.23,4.33
12/4/2009,0.08,0.06,0.17,0.36,0.84,1.34,2.24,2.97,3.48,4.31,4.4
12/7/2009,0.07,0.04,0.16,0.32,0.78,1.26,2.19,2.92,3.44,4.29,4.4
12/8/2009,0.02,0.03,0.15,0.29,0.73,1.21,2.12,2.86,3.4,4.28,4.39
12/9/2009,0.01,0.03,0.14,0.31,0.76,1.23,2.15,2.89,3.45,4.31,4.41
12/10/2009,0.01,0.02,0.15,0.32,0.78,1.26,2.19,2.95,3.49,4.37,4.5
12/11/2009,0.01,0.03,0.16,0.35,0.83,1.3,2.26,3.02,3.55,4.39,4.49
12/14/2009,0.02,0.04,0.16,0.37,0.87,1.35,2.3,3.04,3.56,4.39,4.48
12/15/2009,0.02,0.05,0.17,0.41,0.88,1.38,2.35,3.08,3.6,4.42,4.52
12/16/2009,0.02,0.04,0.17,0.38,0.85,1.36,2.35,3.09,3.61,4.42,4.52
12/17/2009,0.01,0.04,0.15,0.35,0.77,1.27,2.24,2.97,3.5,4.31,4.42
12/18/2009,0.01,0.05,0.16,0.36,0.82,1.32,2.3,3.04,3.55,4.36,4.46
12/21/2009,0.01,0.08,0.17,0.4,0.89,1.42,2.43,3.18,3.69,4.47,4.56
12/22/2009,0.01,0.08,0.18,0.41,0.95,1.48,2.49,3.24,3.76,4.52,4.6
12/23/2009,0.01,0.07,0.17,0.41,0.96,1.51,2.51,3.26,3.77,4.54,4.61
12/24/2009,0.02,0.05,0.18,0.43,1,1.56,2.57,3.32,3.82,4.6,4.68
12/28/2009,0.03,0.11,0.2,0.47,1.09,1.63,2.62,3.34,3.85,4.61,4.69
12/29/2009,0.02,0.1,0.2,0.47,1.09,1.64,2.62,3.33,3.82,4.57,4.64
12/30/2009,0.02,0.05,0.19,0.45,1.08,1.65,2.61,3.34,3.8,4.54,4.61
12/31/2009,0.04,0.06,0.2,0.47,1.14,1.7,2.69,3.39,3.85,4.58,4.63
1/4/2010,0.05,0.08,0.18,0.45,1.09,1.66,2.65,3.36,3.85,4.6,4.65
1/5/2010,0.03,0.07,0.17,0.41,1.01,1.57,2.56,3.28,3.77,4.54,4.59
1/6/2010,0.03,0.06,0.15,0.4,1.01,1.6,2.6,3.33,3.85,4.63,4.7
1/7/2010,0.02,0.05,0.16,0.4,1.03,1.62,2.62,3.33,3.85,4.62,4.69
1/8/2010,0.02,0.05,0.15,0.37,0.96,1.56,2.57,3.31,3.83,4.61,4.7
1/11/2010,0.01,0.04,0.13,0.35,0.95,1.55,2.58,3.32,3.85,4.64,4.74
1/12/2010,0.02,0.05,0.14,0.34,0.92,1.5,2.49,3.22,3.74,4.52,4.62
1/13/2010,0.02,0.06,0.15,0.37,0.97,1.54,2.55,3.28,3.8,4.6,4.71
1/14/2010,0.02,0.05,0.14,0.34,0.94,1.49,2.51,3.23,3.76,4.52,4.63
1/15/2010,0.03,0.06,0.15,0.33,0.89,1.44,2.44,3.17,3.7,4.48,4.58
1/19/2010,0.03,0.06,0.14,0.33,0.93,1.48,2.48,3.2,3.73,4.49,4.6
1/20/2010,0.03,0.05,0.14,0.31,0.92,1.46,2.45,3.16,3.68,4.43,4.54
1/21/2010,0.02,0.06,0.14,0.31,0.87,1.41,2.38,3.09,3.62,4.38,4.5
1/22/2010,0.02,0.06,0.14,0.3,0.84,1.39,2.37,3.09,3.62,4.38,4.5
1/25/2010,0.02,0.06,0.14,0.3,0.86,1.4,2.39,3.12,3.66,4.42,4.55
1/26/2010,0.02,0.07,0.14,0.32,0.87,1.4,2.38,3.11,3.65,4.43,4.56
1/27/2010,0.01,0.08,0.16,0.33,0.9,1.46,2.43,3.14,3.66,4.42,4.55
1/28/2010,0.01,0.08,0.15,0.31,0.87,1.44,2.41,3.15,3.68,4.44,4.57
1/29/2010,0.02,0.08,0.15,0.3,0.82,1.38,2.34,3.08,3.63,4.38,4.51
2/1/2010,0.05,0.1,0.17,0.33,0.86,1.41,2.38,3.12,3.68,4.43,4.56
2/2/2010,0.04,0.1,0.17,0.33,0.86,1.41,2.37,3.11,3.67,4.42,4.55
2/3/2010,0.05,0.1,0.17,0.35,0.88,1.44,2.4,3.16,3.73,4.49,4.62
