seq,px,sz,cnt,vlm
349,43.56,300,21,13075
350,43.6,100,62,16295
351,43.61,100,51,13708
352,43.64,100,66,19639
353,43.63,100,89,2921
354,43.63,100,16,5600
355,43.67,100,31,17190
356,43.66,100,84,43052
357,43.68,100,190,12214
358,43.67,200,61,8845
359,43.68,100,48,24212
360,43.66,100,107,12600
361,43.7,100,52,21724
362,43.72,200,84,61464
363,43.75,100,107,7515
364,43.75,100,47,35464
365,43.79,100,145,27131
366,43.8,694,108,39040
367,43.76,100,145,18500
368,43.8,100,78,23283
369,43.8,100,123,15483
370,43.8,200,84,33261
371,43.8,200,146,21921
372,43.82,100,91,34420
373,43.78,100,160,46847
374,43.74,100,203,24095
375,43.72,227,106,26076
376,43.75,100,139,50577
377,43.79,400,187,19690
378,43.8,100,82,65671
379,43.82,400,224,63151
380,43.8,100,282,51459
381,43.83,200,217,28960
382,43.84,200,142,56706
383,43.79,100,228,32376
384,43.75,100,178,43704
385,43.73,100,205,64998
386,43.71,100,283,140176
387,43.66,100,536,55376
388,43.69,200,204,28850
389,43.67,200,136,59005
390,43.69,342,235,7753
