DATE|TICKER|RM|R
1991-07-15|IBM|0.005628|-0.001258
1991-07-16|IBM|-0.002223|-0.026448
1991-07-17|IBM|-9.44E-4|-0.003881
1991-07-18|IBM|0.010992|0.020779
1991-07-19|IBM|-0.002984|0.022901
1991-07-22|IBM|-0.003488|0.014925
1991-07-23|IBM|-0.009037|-0.01348
1991-07-24|IBM|-0.002056|0.001242
1991-07-25|IBM|0.006127|-0.002481
1991-07-26|IBM|-7.9E-5|0.0
1991-07-29|IBM|0.005828|0.008706
1991-07-30|IBM|0.009239|0.002466
1991-07-31|IBM|0.002896|-0.00369
1991-08-01|IBM|-0.001779|0.0
1991-08-02|IBM|1.55E-4|-0.009877
1991-08-05|IBM|-0.005475|0.007481
1991-08-06|IBM|0.014439|0.005792
1991-08-07|IBM|-1.54E-4|-0.013699
1991-08-08|IBM|-0.003175|0.002525
1991-08-09|IBM|-0.005651|-0.003778
1991-08-12|IBM|0.002325|-0.002528
1991-08-13|IBM|0.004123|0.003802
1991-08-14|IBM|7.19E-4|-0.005051
1991-08-15|IBM|-0.001462|-0.001269
1991-08-16|IBM|-0.009632|-0.01906
1991-08-19|IBM|-0.023627|-0.015544
1991-08-20|IBM|0.007863|0.007895
1991-08-21|IBM|0.029413|-0.001305
1991-08-22|IBM|0.001895|-0.013072
1991-08-23|IBM|0.007257|0.005298
1991-08-26|IBM|-8.12E-4|0.002635
1991-08-27|IBM|-0.002006|0.001314
1991-08-28|IBM|0.009108|-0.007874
1991-08-29|IBM|-4.29E-4|0.010582
1991-08-30|IBM|-0.002623|0.014398
1991-09-03|IBM|-0.008295|0.011613
1991-09-04|IBM|-0.005559|0.006378
1991-09-05|IBM|-0.002128|-0.003802
1991-09-06|IBM|-1.03E-4|0.01145
1991-09-09|IBM|-0.001362|0.016352
1991-09-10|IBM|-0.01032|-0.013614
1991-09-11|IBM|0.001378|0.017566
1991-09-12|IBM|0.005843|0.025894
1991-09-13|IBM|-0.009681|-0.010817
1991-09-16|IBM|0.005709|0.00729
1991-09-17|IBM|-7.26E-4|0.012063
1991-09-18|IBM|0.003735|0.004768
1991-09-19|IBM|0.001602|-0.004745
1991-09-20|IBM|9.29E-4|-0.005959
1991-09-23|IBM|-0.005156|0.003597
1991-09-24|IBM|0.004638|0.011947
1991-09-25|IBM|-0.002141|-0.008264
1991-09-26|IBM|-0.001008|-0.00119
1991-09-27|IBM|-0.001527|-0.02503
1991-09-30|IBM|0.005079|0.013447
1991-10-01|IBM|0.003455|-0.00965
1991-10-02|IBM|-0.002415|-0.014616
1991-10-03|IBM|-0.009762|-0.021014
1991-10-04|IBM|-0.008401|-0.007576
1991-10-07|IBM|-0.004564|0.006361
1991-10-08|IBM|0.003083|-0.00885
1991-10-09|IBM|-0.010166|-0.007653
1991-10-10|IBM|0.009952|0.025707
1991-10-11|IBM|0.002365|0.001253
1991-10-14|IBM|0.01316|0.013767
1991-10-15|IBM|0.011747|0.02963
1991-10-16|IBM|0.004578|-0.02518
1991-10-17|IBM|-0.00224|-0.01722
1991-10-18|IBM|0.00148|0.005006
1991-10-21|IBM|-0.006318|-0.001245
1991-10-22|IBM|-0.005615|-0.017456
1991-10-23|IBM|2.84E-4|0.0
1991-10-24|IBM|-0.007398|-0.002538
1991-10-25|IBM|-0.002259|-0.002545
1991-10-28|IBM|0.013847|0.002551
1991-10-29|IBM|0.005032|0.006361
1991-10-30|IBM|0.003781|0.013906
1991-10-31|IBM|-0.001272|-0.01995
1991-11-01|IBM|-0.002905|0.001272
1991-11-04|IBM|-0.002658|-0.001677
1991-11-05|IBM|-0.004023|-0.003866
1991-11-06|IBM|0.003241|0.0
1991-11-07|IBM|0.009616|0.033635
1991-11-08|IBM|-0.002108|0.003755
1991-11-11|IBM|5.85E-4|-0.001247
1991-11-12|IBM|0.009208|-0.007491
1991-11-13|IBM|0.001689|-0.005031
1991-11-14|IBM|-6.54E-4|0.011378
1991-11-15|IBM|-0.036586|-0.0375
1991-11-18|IBM|0.006848|0.01039
1991-11-19|IBM|-0.015107|-0.007712
1991-11-20|IBM|-0.002346|-0.010363
1991-11-21|IBM|0.004042|-0.001309
1991-11-22|IBM|-0.010314|-0.006553
1991-11-25|IBM|-0.002127|0.003958
1991-11-26|IBM|0.00698|0.028909
1991-11-27|IBM|-0.003731|-0.037037
1991-11-29|IBM|-0.003532|-0.018568
1991-12-02|IBM|0.01647|-0.002703
1991-12-03|IBM|-0.001154|-0.01084
1991-12-04|IBM|-0.002336|-0.013699
1991-12-05|IBM|-0.007051|0.002778
1991-12-06|IBM|0.004531|-0.01385
1991-12-09|IBM|-0.002216|-0.043539
1991-12-10|IBM|-9.52E-4|0.013216
1991-12-11|IBM|-5.29E-4|0.017391
1991-12-12|IBM|0.010193|0.009972
1991-12-13|IBM|0.007653|-0.007052
1991-12-16|IBM|-2.6E-5|-0.012784
1991-12-17|IBM|-0.004474|-0.015827
1991-12-18|IBM|0.001933|0.008772
1991-12-19|IBM|-0.002503|-0.015942
1991-12-20|IBM|0.011816|0.010309
1991-12-23|IBM|0.025269|0.029155
1991-12-24|IBM|0.006325|0.0
1991-12-26|IBM|0.013798|0.0
1991-12-27|IBM|0.004002|0.012748
1991-12-30|IBM|0.021355|0.011189
1991-12-31|IBM|0.004697|-0.015214
1992-01-02|IBM|4.08E-4|0.014045
1992-01-03|IBM|0.004985|0.001385
1992-01-06|IBM|-0.003291|0.020747
1992-01-07|IBM|-0.00134|0.025745
1992-01-08|IBM|0.001677|-0.023778
1992-01-09|IBM|-0.001172|-0.012179
1992-01-10|IBM|-0.00601|-0.00411
1992-01-13|IBM|-0.001831|-0.006878
1992-01-14|IBM|0.014722|0.023546
1992-01-15|IBM|7.85E-4|0.032476
1992-01-16|IBM|-0.006084|0.001311
1992-01-17|IBM|0.001554|0.009162
1992-01-20|IBM|-0.005969|-0.011673
1992-01-21|IBM|-0.008935|-0.024934
1992-01-22|IBM|0.013305|0.02961
1992-01-23|IBM|-0.007581|-0.022222
1992-01-24|IBM|0.001253|-0.004011
1992-01-27|IBM|-0.001179|0.006711
1992-01-28|IBM|-7.2E-5|-0.005333
1992-01-29|IBM|-0.011134|-0.014745
1992-01-30|IBM|0.003144|-0.001361
1992-01-31|IBM|-0.006899|-0.019074
1992-02-03|IBM|0.00181|0.015278
1992-02-04|IBM|0.010549|0.009576
1992-02-05|IBM|-2.4E-5|-0.01084
1992-02-06|IBM|-4.8E-5|-0.001808
1992-02-07|IBM|-0.006597|-0.006954
