DATE,country.aut.previous.usdcap,country.aut.totret,country.bel.previous.usdcap,country.bel.totret,country.che.previous.usdcap,country.che.totret,country.deu.previous.usdcap,country.deu.totret,country.dnk.previous.usdcap,country.dnk.totret,country.esp.previous.usdcap,country.esp.totret,country.fin.previous.usdcap,country.fin.totret,country.fra.previous.usdcap,country.fra.totret,country.gbr.previous.usdcap,country.gbr.totret,country.irl.previous.usdcap,country.irl.totret,country.ita.previous.usdcap,country.ita.totret,country.nld.previous.usdcap,country.nld.totret,country.nor.previous.usdcap,country.nor.totret,country.prt.previous.usdcap,country.prt.totret,country.swe.previous.usdcap,country.swe.totret
2012-04-30,59651826552.2398,-0.0260579962386392,209956311955.804,-0.00594724464713359,992775281798.521,-0.00401397594553938,1121305508937.72,-0.0198688425579025,156372996698.398,0.0360317011960227,471602907077.544,-0.109765578491544,128621366508.83,-0.046824825073287,1463312373864.47,-0.0455438419057781,2542760192638.64,-0.00265138734799161,51854909338.7202,-0.0216323489358408,413369564387.232,-0.076139918956049,472719196928.379,-0.0195549594519494,221662523890.301,-0.016244068994147,43156685760.4064,-0.0440107441235498,419043968892.542,0.00157745607911209
2012-05-31,57629454588.8927,-0.102051520721074,203063239296.882,-0.0117904186653959,970152720892.262,-0.0375002669505522,1079209230208.3,-0.0717792544230378,157437562845.957,-0.0556022116069088,418997442341.033,-0.110501907194302,118455539254.36,-0.111305615560876,1381541596797.77,-0.0461059095466073,2568386203523.83,-0.0723197861466664,50477370258.9535,-0.0376223439064516,379331824393.185,-0.0925638519542335,456244558177.72,-0.0521634692091986,215594706482.679,-0.084675250409111,42149670458.3832,-0.123349201789409,409023351234.774,-0.0652076538581278
2012-06-30,47496091999.8167,0.0726166063843823,186473798803.049,0.0921877746507587,867468520127.992,0.0333332106393077,919738750660.806,0.0203756112452764,137289738189.118,0.0308393940055425,341353092348.78,0.173112773740653,97560384427.1886,0.0195966905425268,1210565651888.69,0.0610236699726364,2247394907138.54,0.0454940459073973,45350403489.8453,0.0314415980972168,317201133042.683,0.109428094244553,400351039028.107,0.0581561665739685,179415204201.447,0.0563547327428621,33268427193.3388,0.035911591415602,347847189972.411,0.0389906376471305
2012-07-31,52014355935.1817,0.0164686930412288,205448021948.028,0.0385883772021816,918120164570.924,0.0496604409117636,974131377710.948,0.0557237699934434,144944516369.629,0.084228932000967,407923499667.768,-0.0313408230204533,100670551672.982,0.0296719593363281,1307492026765.38,0.0244985917181603,2394000130593.44,0.0143492618438384,47946129782.782,-0.0127811613451485,353795084395.457,-0.0166921860387973,434592771582.239,0.056716081376211,194521405168.087,0.0407242198550432,35374321156.4001,0.00779223511771144,381035470636.795,0.0484904247590841
2012-08-31,51120744080.4608,0.00231660820377167,206672739678.507,0.0320616927548323,915326251849.012,-0.000973782997354199,1000344831842.87,0.023549264004751,152360302866.648,0.0154773279330876,382475725101.487,0.0976635802801384,100591604114.198,0.0283172222533822,1300549011013.72,0.0346487095763492,2393856047120.19,0.0233061892910893,45946073526.1008,-0.0152788610189152,329927672888.119,0.0783166210592884,451987391097.26,0.0100520362094489,199177821376.617,0.031464012207929,34594117159.4288,0.0697186920085497,405811239225.954,-0.0225938016207984
2012-09-30,52437026636.996,0.0333812112807057,217788744814.474,0.00908313856340791,936263695602.933,0.0192835754631343,1050005396232.92,0.0279287220836381,157809851087.616,0.00674908317733358,431883000495.464,0.0463645972736261,105858289725.902,0.0254927499584119,1378726652837.55,-0.0103779952631956,2464924739135.99,0.0147540960358243,46148218240.8451,0.0407551557521621,363206111058.817,-5.7806996250709e-05,464136294019.778,-0.0143964820834034,213353574063.597,0.0178698316004319,37871089653.4898,0.0385360516888613,406777343394.59,0.0271078331660967
2012-10-31,54400876192.3293,0.0577300327116712,223379449292.302,-0.0135204797694816,976054336981.564,0.0161095469261625,1097565477169.63,0.0108746571196235,164646829802.689,-0.0149850383274177,460955817476.577,0.0271919213189059,110815249450.757,0.0191384205136635,1387848988048.02,0.02004208881938,2536524522770.77,0.0133553363956264,49006396166.0838,-0.0121210881005198,368341542814.773,0.0258750740105127,467833839472.844,0.0112313652792698,219149186488.951,-0.0167226818639531,40029869206.2717,0.0232936583938526,424429608761.733,-0.0163532612189969
2012-11-30,57733433099.361,0.0475860363398116,222004810054.25,0.0453617326099425,1001783395475.05,0.0328424164615886,1114707515496.96,0.022633771663648,163233065181.112,0.0124532358619095,478857234109.009,0.0144545609239727,113314704046.576,0.0395486260592483,1427613131638.6,0.0375631411719457,2559701866968.64,0.0224829743642524,48726189643.0929,0.0296867351675485,380153730959.972,0.0202372990299853,476398385908.157,0.0181977829743724,216106049616.009,-0.00186466927806224,41255985671.4274,-0.019889502511144,412730660454.158,0.0311473802587134
2012-12-31,60813724704.1344,0.043150569997692,232933781865.34,0.00180914383494971,1040234129198.21,0.00224596681431333,1144899565746.54,0.0260933568437924,167112967593.993,0.0103073154329275,490054123078.284,0.0333431482848563,118237289501.247,0.0248716872106028,1484221287973.23,0.0189785358751528,2595808727220.52,0.00906024823113132,49749248587.5973,0.0411083212076109,388452615175.828,0.0231075438220954,479045992124.998,0.0163680452154863,217362423752.02,-0.00105760348908147,40584662253.27,0.0693241948969474,424086187369.069,0.0178390460279404
2013-01-31,64307591472.2732,0.0144023789207579,236286658350.264,-0.00411596576079412,1055586884307.52,0.0735290325023693,1189171374494.88,0.0241482356864089,170964064459.381,0.0760739690884592,511579716194.577,0.031786107030907,122873496798.611,0.0413864668292209,1530074472519.02,0.0303112583633111,2663670883496.21,0.0650351932303175,55135157147.4874,0.0564608552326098,402930056625.762,0.0591278366046377,507926124942.368,0.0297588419200135,220304370132.08,0.0478022361869895,43794966568.4708,0.0667012203219763,438870990287.094,0.0585403423422829
2013-02-28,67166748720.4922,0.00665887565579341,242159632130.031,0.0750314543106665,1139613353319.58,0.0379863195252756,1253148704319.23,0.000326238747695313,189042683054.6,0.0152634119915434,541871145378.227,-0.0125051027023415,131751988386.275,0.0282378002799058,1620983666789.62,0.0100040992229621,2765264509871.08,0.0232442898354833,60006210085.8146,0.0564754070777634,439460318601.671,-0.0775540108598557,540876018125.674,-0.0224253176541276,234728769836.742,0.00442753854704982,48100413984.578,-0.0423892144672268,479954221827.891,0.0287049720136221
2013-03-31,65258182414.4065,-0.0458165858342652,250705027054.585,0.0421984442987934,1147102780714.95,0.0310480960270983,1207613203703.53,0.00538649115192843,184987715436.253,-0.00884751098424865,515052859993.734,-0.0393470382259371,129974999145.689,0.0029309478351516,1556530826247.91,0.00846363745086023,2703246948324.77,0.00978297066955011,61077254388.1672,0.0720940547374085,390330897935.728,-0.0273340672905,506991262941.35,0.0143721721580742,225574791819.306,-0.00055204703152432,44839238536.415,0.00411235585070205,487351192667.396,0.0116557612515885
2013-04-30,60885536534.1448,0.0406132583476776,256188686212.565,-0.0150345052408612,1160530271681.93,0.0266290621889025,1193781215216.29,0.0121293117836368,177772270132.677,0.0119056458119109,485322166258.116,0.06819894127829,126529572938.696,0.0307409136022213,1537292811899.08,0.0342672211598168,2728876705910.06,0.00223278509100909,63758122800.8259,-0.0277807810992059,372255900649.991,0.0839074755212931,525658196344.165,0.00822719441645921,220614661457.347,0.0181367023106908,46541620199.9022,0.0855268692430311,481066916157.241,0.0226537692673192
2013-05-31,65046149432.114,0.00791097579687674,255246606638.775,0.00238909682938436,1203030695774.54,0.00744606687305278,1229264418628.16,0.0509318115328049,184047315288.43,-0.0145045792595909,574268363879.817,-0.0687852587617819,130561216220.443,0.0133818443043992,1627975689499.97,0.0419945882701948,2746961087641.49,0.0284827658507788,62652456594.4626,0.0521853031324254,414340963573.69,0.0349353765264993,546112862702.724,0.0352719787867687,226969937136.065,0.0150296048873757,51979602856.1592,-0.0240404237556458,490111041148.311,0.0187905308182567
2013-06-30,63573534467.9993,-0.0811448843984799,248854838469.84,-0.0428259798890493,1171951289135.87,-0.032807010849099,1259700568582.09,-0.0418577404404401,177925977484.851,-0.0420979852239735,527311983109.75,-0.0677424727140291,130074268573.621,-0.0508800954010102,1646723211000.88,-0.0487760793480097,2774593086066.86,-0.0544588104033551,61695655914.1931,-0.014511647966108,414349323607.523,-0.103491770748564,558284631312.563,-0.0482012381006684,218345321809.626,-0.048895792691227,48296203439.0971,-0.0593292164859398,482235657386.007,-0.0520235666557831
2013-07-31,58566290849.1299,0.0499066445108641,239003345236.781,0.0565184103211146,1149170437658.7,0.0230493635456907,1208469427088.32,0.0416747033743576,174981945220.589,0.0596943803729381,493253532515.119,0.0946713758895361,123857744910.423,0.0344987600116237,1564264866649,0.0747688390888524,2622951930252.08,0.0688637520407262,64748320573.8164,0.0315972946309086,372803540726.54,0.0781005291695014,537261916311.236,0.0691219558067933,199650299549.917,0.0504174610965733,45569567404.7097,0.0190483616435177,448943031821.218,0.0774133413397333
2013-08-31,63256975732.1581,0.0503155295267583,257920413147.926,-0.0117040254202172,1196958391568.28,-0.00870306444714887,1286547286131.68,-0.0151139824610777,189491396476.272,0.0107040845364235,549707425886.358,-0.0145048459965372,130370025283.771,0.0286645973092007,1720832825773.5,-0.0129953207363896,2799297925748.48,-0.0192215125012549,68234044695.2708,0.0327993503356127,410556253780.216,0.0118277088060492,586407384023.28,-0.0146960948221013,216224804768.555,0.0138217247097647,47431517675.5045,0.0214089955570099,499641963345.939,-0.018295040729849
